epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5335027575492859,0.5335027575492859
0,25,0.8453090786933899,,,
1,49,,0.37754881381988525,,
1,51,,,0.39738795161247253,0.39738795161247253
1,51,0.4746917486190796,,,
2,77,,,0.402427613735199,0.402427613735199
2,77,0.3105902075767517,,,
3,99,,0.17189550399780273,,
3,103,,,0.3559459447860718,0.3559459447860718
3,103,0.25194525718688965,,,
4,129,,,0.38095712661743164,0.38095712661743164
4,129,0.13865482807159424,,,
5,149,,0.07649780809879303,,
5,155,,,0.3629431128501892,0.3629431128501892
5,155,0.08028721064329147,,,
6,181,,,0.3579159677028656,0.3579159677028656
6,181,0.045256394892930984,,,
7,199,,0.02133568376302719,,
7,207,,,0.3697752058506012,0.3697752058506012
7,207,0.026338012889027596,,,
8,233,,,0.36822932958602905,0.36822932958602905
8,233,0.016740815714001656,,,
9,249,,0.00943581573665142,,
9,259,,,0.36672547459602356,0.36672547459602356
9,259,0.011370429769158363,,,
10,285,,,0.3707753121852875,0.3707753121852875
10,285,0.0075235068798065186,,,
11,299,,0.004724794998764992,,
11,311,,,0.3597545027732849,0.3597545027732849
11,311,0.005849436856806278,,,
12,337,,,0.36665982007980347,0.3666597902774811
12,337,0.004306396469473839,,,
13,349,,0.004682288970798254,,
13,363,,,0.36285847425460815,0.36285847425460815
13,363,0.0028061848133802414,,,
