epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.555308997631073,0.530327558517456
0,25,0.8471338748931885,,,
1,49,,0.3104631304740906,,
1,51,,,0.40496397018432617,0.38101106882095337
1,51,0.5193136930465698,,,
2,77,,,0.35236817598342896,0.3290957510471344
2,77,0.34869375824928284,,,
3,99,,0.2942372262477875,,
3,103,,,0.3531275987625122,0.32919907569885254
3,103,0.24857883155345917,,,
4,129,,,0.3562357723712921,0.3330085873603821
4,129,0.16973817348480225,,,
5,149,,0.11612039804458618,,
5,155,,,0.33699145913124084,0.31356027722358704
5,155,0.10699547082185745,,,
6,181,,,0.3546798527240753,0.33043718338012695
6,181,0.06821908801794052,,,
7,199,,0.05577518418431282,,
7,207,,,0.34687885642051697,0.32300007343292236
7,207,0.055327508598566055,,,
8,233,,,0.3473624289035797,0.32170480489730835
8,233,0.03474996238946915,,,
9,249,,0.016637759283185005,,
9,259,,,0.3483310341835022,0.32280874252319336
9,259,0.02080986090004444,,,
10,285,,,0.3521196246147156,0.32529446482658386
10,285,0.012338798493146896,,,
11,299,,0.010681826621294022,,
11,311,,,0.3558863699436188,0.3272274136543274
11,311,0.007840203121304512,,,
12,337,,,0.35719558596611023,0.3287026286125183
12,337,0.004779970273375511,,,
13,349,,0.0035504689440131187,,
13,363,,,0.3563183546066284,0.32690733671188354
13,363,0.002920289523899555,,,
14,389,,,0.35863837599754333,0.32756897807121277
14,389,0.0017956013325601816,,,
15,399,,0.0008934927172958851,,
15,415,,,0.35865163803100586,0.3264319598674774
15,415,0.0011479216627776623,,,
