epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5713321566581726,0.5713321566581726
0,25,0.8216954469680786,,,
1,49,,0.3779246211051941,,
1,51,,,0.4184676706790924,0.4184676706790924
1,51,0.45599913597106934,,,
2,77,,,0.38080987334251404,0.3808099031448364
2,77,0.30027541518211365,,,
3,99,,0.1705334633588791,,
3,103,,,0.39897435903549194,0.39897435903549194
3,103,0.19623963534832,,,
4,129,,,0.4056474566459656,0.4056474566459656
4,129,0.11362560838460922,,,
5,149,,0.054059140384197235,,
5,155,,,0.3718114197254181,0.3718114197254181
5,155,0.061943065375089645,,,
6,181,,,0.39743566513061523,0.39743566513061523
6,181,0.03663275018334389,,,
7,199,,0.025000043213367462,,
7,207,,,0.37523356080055237,0.37523356080055237
7,207,0.02655854821205139,,,
8,233,,,0.38426655530929565,0.38426655530929565
8,233,0.02106757089495659,,,
9,249,,0.013824230059981346,,
9,259,,,0.3899374008178711,0.3899374008178711
9,259,0.013539453037083149,,,
10,285,,,0.3832802176475525,0.3832802176475525
10,285,0.007356625981628895,,,
11,299,,0.003981485962867737,,
11,311,,,0.3772578537464142,0.3772578537464142
11,311,0.00519841443747282,,,
12,337,,,0.387227326631546,0.387227326631546
12,337,0.0034955735318362713,,,
13,349,,0.001858305186033249,,
13,363,,,0.3835526704788208,0.3835526704788208
13,363,0.002554759383201599,,,
14,389,,,0.3836168944835663,0.3836168944835663
14,389,0.0018585521029308438,,,
15,399,,0.001053273444995284,,
15,415,,,0.37999171018600464,0.37999171018600464
15,415,0.001321776770055294,,,
