SMILES,chembl_pxr_pchembl
CC(=O)N1CCC(C(=O)N2C[C@@H](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)[C@@](C)(c3ccccc3)C2)CC1,5.785
CC(=O)N1CCC(C(=O)N2C[C@H](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)[C@](C)(c3ccccc3)C2)CC1,5.9
CC(=O)N1CCC(C)(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,6.2
CC(=O)N1CCC(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,6.32
CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,5.31
CC(=O)N1CCN(C(=O)N2CC[C@](c3ccc(C(OCc4c(F)cccc4C#N)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,5.91
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.72
CC(=O)N1C[C@@H](c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)[C@@](C)(c2ccccc2)C1,6.44
CC(=O)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,4.13
CC(=O)Nc1cc(-c2cnc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CCCCC3)c2)n(C(C)C)n1,5.27
CC(=O)Nc1ccc(O)cc1,4.62
CC(=O)Nc1nc(C(C)C)c(-c2cnc(N(C)C(=O)c3c(F)cccc3Cl)c(N3CCCCC3)c2)s1,6.4
CC(=O)Nc1nccc(-c2sc(C3CCN(C4CC4)CC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)n1,4.97
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,6.41
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1,4.78
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,4.66
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,4.72
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,5.0600000000000005
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,5.5
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.65
CC(=O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,5.4
CC(C)(C(=O)N1CCOCC1)c1ccc2c(-c3ccc(F)cc3)cc(C(N)=O)nc2c1,6.52
CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.55
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,5.15
