SMILES,chembl_car_pchembl
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1C(=O)C=CC1=O)c1ccccc1CC2,4.4
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1C(C)(C)CCCC1(C)C)c1ccccc1CC2,5.39
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1C3CCC1CC3)c1ccccc1CC2,5.85
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCCC1)c1ccccc1CC2,5.8
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCCCC1)c1ccccc1CC2,6.21
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCN(C)CC1)c1ccccc1CC2,4.41
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCOCC1)c1ccccc1CC2,6.63
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CNC(C)(C)C)c1ccccc1CC2,5.44
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CNC(C)(C)CC)c1ccccc1CC2,5.69
CCOC(=O)Nc1ccc2c(c1)N(C(=O)COC(C)(C)C)c1ccccc1CC2,7.15
CCOC(=O)Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2,7.43
CCOC(=O)Nc1ccc2c(c1)N(C(=O)Cn1ccnc1)c1ccccc1CC2,5.16
CCOCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC(C)C)cc21,4.95
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,5.3
CCc1nc2sccn2c1/C=N/OCc1ccc(Cl)c(Cl)c1,5.58
CCc1nc2sccn2c1CNCCc1ccc(Cl)c(Cl)c1,5.06
CN(C)C(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,5.965
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,4.75
CN(CCc1ccc(Cl)c(Cl)c1)Cc1c(-c2ccc(Cl)cc2)nc2sccn12,5.96
CNC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,5.795
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,4.62
COC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1CC2,6.54
COC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,6.83
COCc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,7.825
CON(C)C(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,6.07
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,5.4
COc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.31
COc1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,6.17
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.68
COc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,5.36
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1,7.16
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)cc1OC,7.72
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1,6.18
COc1ccc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4sccn34)nn2)cc1OC,6.595000000000001
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,5.32
COc1cccc(-c2nc(OC)c3ccccc3n2)c1,5.494999999999999
COc1cccc(-c2nc(SC)c3ccccc3n2)c1,5.34
