SMILES,chembl_ahr_pchembl
CNC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1,8.8
COC(=O)c1cc(C(=O)Nc2nnc(C3CC3)s2)cc([N+](=O)[O-])c1,5.52
COC(=O)c1ccccc1NC(=O)Cn1ccnc1,5.66
COCC(=O)Nc1nnc(-c2cccs2)s1,5.2
COc1cc(/C=N/NC(=O)c2cccc(NC(=O)c3ccccc3)c2)ccc1O,5.25
COc1cc(/C=N/NC(=O)c2cccnc2)cc2c1OCO2,5.21
COc1cc2c(cc1NC(=O)Nc1ccc(C)cc1)oc1ccccc12,5.83
COc1cc2ccccc2cc1C(=O)Nc1ccc(C)cc1,6.41
COc1cc2nc(-c3cccc(F)c3)cc(O)c2cc1OC,5.26
COc1ccc(-c2nc3cc(F)ccc3s2)cc1OC,7.6
COc1ccc(-c2oc3ccc(N4CCOCC4)cc3c2C#Cc2ccc(N)cc2)cc1,5.24
COc1ccc(/C=C\c2cc(Cl)cc(Cl)c2)cc1,7.92
COc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,7.92
COc1ccc(/C=N/NC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2)c(C(=O)O)c1OC,5.26
COc1ccc(/C=N/Nc2nc3ccccc3[nH]2)cc1OC,5.46
COc1ccc(C(=O)Nc2cc(OC)c(NC(=O)c3ccco3)cc2OC)cc1,5.75
COc1ccc(C(O)(c2ccc(C(F)(F)F)cc2)c2ccccn2)cc1,4.28
COc1ccc(C(O)(c2ccccn2)c2ccc3ccccc3n2)cc1,4.7
COc1ccc(C(c2ccccn2)c2c(O)ccc3ccccc23)cc1,4.27
COc1ccc(C(c2ccccn2)c2c[nH]c3ccccc23)cc1,4.66
COc1ccc(C)cc1N=C(N)Nc1nc(C)cc(C)n1,5.4
COc1ccc(Cl)cc1C(=O)Nc1ccc(N(C)C(C)=O)cc1,5.55
COc1ccc(Cn2cc(C(=O)c3nccs3)c3ccccc32)cc1,6.96
COc1ccc(N2CCN(c3cc(C)c4ccc(O)cc4n3)CC2)cc1,5.46
COc1ccc(NC(=O)c2cc3ccccc3n(C)c2=O)cc1,9.52
COc1ccc(NC(=O)c2ccc(C)cc2)c(OC)c1,5.42
COc1ccc(NC(=O)c2cccc3c(Br)cccc23)cc1,6.01
COc1ccc2[nH]cc(Cc3[nH]c4ccccc4c3C=O)c2c1,6.64
COc1ccc2[nH]cc(Cc3cc4ccccc4[nH]3)c2c1,7.03
COc1cccc(-c2nc(OC)c3ccccc3n2)c1,5.14
COc1cccc(-c2nc(SC)c3ccccc3n2)c1,5.64
COc1cccc(-c2nc3ccccc3c(=S)[nH]2)c1,6.2
COc1cccc(C(=O)O/N=C(\N)c2ccc([N+](=O)[O-])cc2)c1,5.45
COc1cccc(OC)c1C(=O)OCc1cc(=O)n2cc(Br)ccc2n1,5.23
COc1ccccc1-c1cc(=O)c2c(ccc3ccccc32)o1,6.57
COc1ccccc1-c1nnc(NC(C)=O)s1,4.96
COc1ccccc1/C=C/C(=O)c1ccc[nH]1,5.82
COc1ccccc1C(=O)Nc1ccc(N2CCCCC2)cc1,5.54
COc1ccccc1NC(=O)Nc1cccnc1,5.65
COc1ccccc1NC(=O)c1ccc(C(=O)Nc2ccccc2OC)nc1,7.16
COc1ccccc1NC(=O)c1ccc2c(c1)nnn2C,6.71
COc1ccccc1Nc1nc(NCCO)nc(N)c1[N+](=O)[O-],5.92
CSc1ncc(C(=O)Nc2ccc(Cl)cc2)c(C)n1,7.65
C[C@@H](CO)NC(=O)c1cc(-c2ccc(OC(F)(F)F)cc2)nc(-c2cccnc2)n1,9.05
C[C@@H]1CCCc2c1cc(C(=O)Nc1ccccc1)c(=O)n2C,9.86
C[C@@H]1CCc2c1cc(C(=O)Nc1cc3ccccc3[nH]1)c(=O)n2C,9.72
C[C@@H]1Cc2cc(C(=O)Nc3ccccc3)c(=O)n(C)c2C1,9.53
C[C@H]1CCCc2c1cc(C(=O)Nc1ccccc1)c(=O)n2C,9.79
C[C@H]1CCc2c(cc(C(=O)Nc3ccccc3)c(=O)n2C)C1,9.56
Cc1[nH]c2c(C)cccc2c1C,4.92
Cc1[nH]c2ccccc2c1C,4.96
Cc1c(-c2cc[nH]n2)cc(NC(=O)c2ccc(Cl)cc2)c(=O)n1N,5.93
Cc1cc(-c2ccc(N3CCOCC3)cc2)nc2ccccc12,5.33
Cc1cc(-c2nnc3sc(-c4ccccc4Br)nn23)[nH]n1,5.55
Cc1cc(C)n2cc(-c3ccc(Cl)cc3)c(C(=O)O)c2n1,6.0
Cc1cc(C)nc(Nc2ncc(O)n2-c2ccccc2)n1,5.03
Cc1cc(Cl)cc2c1oc1cc(Cl)cc(Cl)c12,8.6
Cc1cc(Nc2ccc(Br)cc2)n2nc(C)nc2n1,6.93
Cc1cc(O)nc(N/N=C/c2ccc(Br)s2)n1,5.07
Cc1ccc(-c2cc(-c3cccs3)[nH]n2)c(O)c1,5.92
Cc1ccc(-c2nc3ccc(Br)cn3n2)cc1,5.72
Cc1ccc(-n2c(=O)[nH]cc(C(=O)Nc3ccc4c(c3)OCO4)c2=O)cc1C,5.11
Cc1ccc(/C=N/n2cc(-c3ccccc3)nc2S)s1,5.84
Cc1ccc(C)c2sc(NC(=O)C3CC3)nc12,5.38
Cc1ccc(N=C(S)c2nc3ccccc3[nH]2)c(C)c1,5.44
Cc1ccc(NC(=O)c2cc3ccccc3n(C)c2=O)cc1,10.01
Cc1ccc(NC(=O)c2ccc(-n3nc(C)cc3C)cc2)c(Br)c1,5.5
