epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5065702795982361,0.5065702795982361
0,25,0.8275109529495239,,,
1,49,,0.29735639691352844,,
1,51,,,0.35369396209716797,0.35369402170181274
1,51,0.4672004282474518,,,
2,77,,,0.3465510308742523,0.3465510308742523
2,77,0.32173675298690796,,,
3,99,,0.2255757451057434,,
3,103,,,0.3188520669937134,0.3188520669937134
3,103,0.2170887589454651,,,
4,129,,,0.3308241069316864,0.3308241069316864
4,129,0.14948011934757233,,,
5,149,,0.09614865481853485,,
5,155,,,0.3223579525947571,0.3223579227924347
5,155,0.08319705724716187,,,
6,181,,,0.3410601317882538,0.3410601317882538
6,181,0.04908104985952377,,,
7,199,,0.02970048040151596,,
7,207,,,0.3279145359992981,0.3279144763946533
7,207,0.030926452949643135,,,
8,233,,,0.33149442076683044,0.33149445056915283
8,233,0.017594989389181137,,,
9,249,,0.01570909097790718,,
9,259,,,0.331631064414978,0.331631064414978
9,259,0.012048411183059216,,,
10,285,,,0.3293837904930115,0.3293837904930115
10,285,0.00817476212978363,,,
11,299,,0.005893649533390999,,
11,311,,,0.33220356702804565,0.33220356702804565
11,311,0.005028500687330961,,,
12,337,,,0.32803216576576233,0.32803216576576233
12,337,0.0035311919637024403,,,
13,349,,0.001939549925737083,,
13,363,,,0.3315187990665436,0.3315187990665436
13,363,0.0026809743139892817,,,
