epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5592370629310608,0.5328393578529358
0,25,0.8560899496078491,,,
1,49,,0.35767683386802673,,
1,51,,,0.4150203764438629,0.3894428610801697
1,51,0.4992714524269104,,,
2,77,,,0.3958387076854706,0.3705659806728363
2,77,0.3424927294254303,,,
3,99,,0.15592148900032043,,
3,103,,,0.3964217007160187,0.3706420958042145
3,103,0.2564643323421478,,,
4,129,,,0.39574384689331055,0.3700467646121979
4,129,0.161139115691185,,,
5,149,,0.08201372623443604,,
5,155,,,0.40184807777404785,0.37494203448295593
5,155,0.1076555848121643,,,
6,181,,,0.3961152136325836,0.37005212903022766
6,181,0.06789574772119522,,,
7,199,,0.03967677429318428,,
7,207,,,0.39478206634521484,0.3697763979434967
7,207,0.03736112639307976,,,
8,233,,,0.3946608304977417,0.3699958622455597
8,233,0.025751594454050064,,,
9,249,,0.014152671210467815,,
9,259,,,0.3952663838863373,0.37019094824790955
9,259,0.019376050680875778,,,
10,285,,,0.3847764730453491,0.3605706989765167
10,285,0.013649193570017815,,,
11,299,,0.007179752923548222,,
11,311,,,0.38762396574020386,0.3631301522254944
11,311,0.00873902440071106,,,
12,337,,,0.3878924250602722,0.36292770504951477
12,337,0.005263250786811113,,,
13,349,,0.005344820208847523,,
13,363,,,0.3865164816379547,0.3622526526451111
13,363,0.003232054878026247,,,
14,389,,,0.39006131887435913,0.3648696541786194
14,389,0.0021536292042583227,,,
15,399,,0.0010743914172053337,,
15,415,,,0.3893547058105469,0.36420169472694397
15,415,0.001397885149344802,,,
16,441,,,0.38775959610939026,0.3629937767982483
16,441,0.0010271669598296285,,,
17,449,,0.0003053384425584227,,
17,467,,,0.38839587569236755,0.36274272203445435
17,467,0.0007158687803894281,,,
18,493,,,0.3892608880996704,0.36351221799850464
18,493,0.0004980731755495071,,,
19,499,,0.0005054351058788598,,
19,519,,,0.3884879946708679,0.36345934867858887
19,519,0.00043681758688762784,,,
20,545,,,0.3882999122142792,0.363222599029541
20,545,0.00034251323086209595,,,
