epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.6528042554855347,0.6528042554855347
0,25,0.8118682503700256,,,
1,49,,0.40444713830947876,,
1,51,,,0.49543988704681396,0.4954398572444916
1,51,0.4390272796154022,,,
2,77,,,0.45162633061408997,0.4516262710094452
2,77,0.31049737334251404,,,
3,99,,0.3035358786582947,,
3,103,,,0.4023219347000122,0.4023219347000122
3,103,0.20524358749389648,,,
4,129,,,0.4178718328475952,0.4178718328475952
4,129,0.11131641268730164,,,
5,149,,0.09109753370285034,,
5,155,,,0.4105294942855835,0.4105294942855835
5,155,0.07712768763303757,,,
6,181,,,0.42075008153915405,0.42075008153915405
6,181,0.046726156026124954,,,
7,199,,0.03168603777885437,,
7,207,,,0.4184514582157135,0.4184514582157135
7,207,0.026670875027775764,,,
8,233,,,0.4184320867061615,0.41843199729919434
8,233,0.017296360805630684,,,
9,249,,0.013684447854757309,,
9,259,,,0.4166903793811798,0.4166903793811798
9,259,0.011961481533944607,,,
10,285,,,0.41965362429618835,0.41965362429618835
10,285,0.007540766149759293,,,
11,299,,0.0041408054530620575,,
11,311,,,0.418399840593338,0.4183999001979828
11,311,0.004878406412899494,,,
12,337,,,0.4144706428050995,0.4144705832004547
12,337,0.003657180117443204,,,
13,349,,0.0018369515892118216,,
13,363,,,0.4163416624069214,0.4163416624069214
13,363,0.0028126188553869724,,,
