epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.47004589438438416,,
0,63,,,1.3948249816894531,0.9223077893257141
0,63,0.5754991173744202,,,
1,99,,0.3823229670524597,,
1,127,,,1.4075208902359009,0.9887979030609131
1,127,0.4163106083869934,,,
2,149,,0.3741120994091034,,
2,191,,,1.132007360458374,0.8496499061584473
2,191,0.3710692524909973,,,
3,199,,0.2934434413909912,,
3,249,,0.28551775217056274,,
3,255,,,1.334317922592163,0.9494778513908386
3,255,0.32572314143180847,,,
4,299,,0.2918274700641632,,
4,319,,,1.3433423042297363,0.9267801642417908
4,319,0.28512319922447205,,,
5,349,,0.3157615065574646,,
5,383,,,1.2622803449630737,0.9155092835426331
5,383,0.24979209899902344,,,
6,399,,0.1608443707227707,,
6,447,,,1.3787446022033691,0.9436275362968445
6,447,0.22001300752162933,,,
7,449,,0.1899198591709137,,
7,499,,0.1663244664669037,,
7,511,,,1.3656489849090576,0.9706360697746277
7,511,0.20433062314987183,,,
8,549,,0.20522677898406982,,
8,575,,,1.4405461549758911,0.9852949976921082
8,575,0.1900937408208847,,,
9,599,,0.17378418147563934,,
9,639,,,1.245557188987732,0.9196219444274902
9,639,0.17877177894115448,,,
10,649,,0.15618114173412323,,
10,699,,0.14619067311286926,,
10,703,,,1.1810663938522339,0.8855791687965393
10,703,0.16371849179267883,,,
11,749,,0.1665273904800415,,
11,767,,,1.2159888744354248,0.9054144620895386
11,767,0.15991365909576416,,,
12,799,,0.1457427442073822,,
12,831,,,1.394062876701355,0.9607727527618408
12,831,0.15083348751068115,,,
