epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.6077824234962463,0.6077824234962463
0,25,0.8236162662506104,,,
1,49,,0.3340819478034973,,
1,51,,,0.4130032956600189,0.41300326585769653
1,51,0.4473247528076172,,,
2,77,,,0.37315240502357483,0.37315240502357483
2,77,0.30868515372276306,,,
3,99,,0.09516534209251404,,
3,103,,,0.37274810671806335,0.37274810671806335
3,103,0.19783689081668854,,,
4,129,,,0.37764987349510193,0.37764987349510193
4,129,0.11113359034061432,,,
5,149,,0.061186499893665314,,
5,155,,,0.37807992100715637,0.378079891204834
5,155,0.06784945726394653,,,
6,181,,,0.39773204922676086,0.39773204922676086
6,181,0.04415811970829964,,,
7,199,,0.022008858621120453,,
7,207,,,0.36609387397766113,0.36609384417533875
7,207,0.029734069481492043,,,
8,233,,,0.3750678300857544,0.3750678300857544
8,233,0.01782149076461792,,,
9,249,,0.011504577472805977,,
9,259,,,0.37326812744140625,0.37326812744140625
9,259,0.01108076423406601,,,
10,285,,,0.37777194380760193,0.37777191400527954
10,285,0.008070436306297779,,,
11,299,,0.006104293279349804,,
11,311,,,0.3730916976928711,0.3730916976928711
11,311,0.006129417568445206,,,
12,337,,,0.3698895573616028,0.3698895573616028
12,337,0.003847776912152767,,,
13,349,,0.0018528912914916873,,
13,363,,,0.37059077620506287,0.3705907166004181
13,363,0.0024729440920054913,,,
14,389,,,0.37359359860420227,0.37359359860420227
14,389,0.0016469944966956973,,,
15,399,,0.0009697336354292929,,
15,415,,,0.37042152881622314,0.37042152881622314
15,415,0.001128216041252017,,,
16,441,,,0.37299489974975586,0.37299489974975586
16,441,0.0008242334006354213,,,
17,449,,0.0005804288666695356,,
17,467,,,0.3714902698993683,0.3714902698993683
17,467,0.0005576875992119312,,,
