epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.7105045914649963,0.6938996315002441
0,25,0.8271305561065674,,,
1,49,,0.3727267384529114,,
1,51,,,0.4938916563987732,0.4785078465938568
1,51,0.4623488187789917,,,
2,77,,,0.4406749904155731,0.4256910979747772
2,77,0.33141541481018066,,,
3,99,,0.30935806035995483,,
3,103,,,0.4658450186252594,0.4510873556137085
3,103,0.24185486137866974,,,
4,129,,,0.4434143900871277,0.4285408854484558
4,129,0.14820434153079987,,,
5,149,,0.09528864920139313,,
5,155,,,0.4297236502170563,0.4153721034526825
5,155,0.09356237202882767,,,
6,181,,,0.4258394241333008,0.41139674186706543
6,181,0.06285025924444199,,,
7,199,,0.06018807366490364,,
7,207,,,0.4497961103916168,0.435110479593277
7,207,0.0439717061817646,,,
8,233,,,0.4246514141559601,0.4089982807636261
8,233,0.027365252375602722,,,
9,249,,0.017533298581838608,,
9,259,,,0.428926557302475,0.41366541385650635
9,259,0.018530238419771194,,,
10,285,,,0.42414629459381104,0.40877288579940796
10,285,0.015241019427776337,,,
11,299,,0.006709447596222162,,
11,311,,,0.42406466603279114,0.4080863296985626
11,311,0.009924504905939102,,,
12,337,,,0.42914047837257385,0.4124182462692261
12,337,0.005695202853530645,,,
13,349,,0.00258704018779099,,
13,363,,,0.4262828230857849,0.4095796048641205
13,363,0.003501540282741189,,,
14,389,,,0.42807990312576294,0.4107378423213959
14,389,0.0021986893843859434,,,
15,399,,0.0010054950835183263,,
15,415,,,0.42705094814300537,0.4099988639354706
15,415,0.001438249135389924,,,
16,441,,,0.42734357714653015,0.410332053899765
16,441,0.001049098209477961,,,
17,449,,0.0008838332141749561,,
17,467,,,0.4261387586593628,0.40885093808174133
17,467,0.000682998332194984,,,
18,493,,,0.4275420308113098,0.4105532169342041
18,493,0.0005128190387040377,,,
19,499,,0.00042692761053331196,,
19,519,,,0.4273131787776947,0.4101806581020355
19,519,0.00035088241565972567,,,
20,545,,,0.4277695417404175,0.4107118546962738
20,545,0.00022102594084572047,,,
21,549,,0.00027918131672777236,,
21,571,,,0.4269092381000519,0.4099012017250061
21,571,0.0001573109329910949,,,
