epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5551894307136536,0.5551894307136536
0,25,0.8178284764289856,,,
1,49,,0.3068961799144745,,
1,51,,,0.444716215133667,0.444716215133667
1,51,0.4425862729549408,,,
2,77,,,0.3901647925376892,0.3901647925376892
2,77,0.31112998723983765,,,
3,99,,0.155406653881073,,
3,103,,,0.4177817106246948,0.4177817106246948
3,103,0.20448288321495056,,,
4,129,,,0.3937234580516815,0.3937234580516815
4,129,0.13436825573444366,,,
5,149,,0.08637520670890808,,
5,155,,,0.3976832628250122,0.39768317341804504
5,155,0.07519954442977905,,,
6,181,,,0.394806832075119,0.3948068618774414
6,181,0.047315388917922974,,,
7,199,,0.03215058147907257,,
7,207,,,0.39296117424964905,0.39296117424964905
7,207,0.027662433683872223,,,
8,233,,,0.3848147690296173,0.3848147988319397
8,233,0.019459230825304985,,,
9,249,,0.014461280778050423,,
9,259,,,0.3841334581375122,0.3841334581375122
9,259,0.01651111990213394,,,
10,285,,,0.3872171938419342,0.387217253446579
10,285,0.010502881370484829,,,
11,299,,0.00465861801058054,,
11,311,,,0.38703611493110657,0.38703611493110657
11,311,0.005790484603494406,,,
12,337,,,0.38392919301986694,0.38392919301986694
12,337,0.003372336970642209,,,
13,349,,0.0029505188576877117,,
13,363,,,0.3853645920753479,0.3853645920753479
13,363,0.0022586295381188393,,,
14,389,,,0.38718900084495544,0.38718903064727783
14,389,0.0015746366698294878,,,
15,399,,0.0007760253502056003,,
15,415,,,0.38645970821380615,0.38645970821380615
15,415,0.0009966252837330103,,,
16,441,,,0.38758087158203125,0.38758087158203125
16,441,0.00070717534981668,,,
17,449,,0.0003975550353061408,,
17,467,,,0.3852049708366394,0.3852049708366394
17,467,0.0004988748114556074,,,
18,493,,,0.3857901096343994,0.3857901096343994
18,493,0.0003287470608484,,,
19,499,,0.00015766909928061068,,
19,519,,,0.38590627908706665,0.38590630888938904
19,519,0.00020569455227814615,,,
20,545,,,0.3864613175392151,0.3864613175392151
20,545,0.00013823855260852724,,,
21,549,,0.0001058943453244865,,
21,571,,,0.38584816455841064,0.38584816455841064
21,571,0.00010173689952353016,,,
22,597,,,0.38616472482681274,0.38616466522216797
22,597,7.923791417852044e-05,,,
