epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.69264817237854,0.6667879819869995
0,25,0.8539739847183228,,,
1,49,,0.4664744734764099,,
1,51,,,0.5110355019569397,0.4864082634449005
1,51,0.500620424747467,,,
2,77,,,0.45387375354766846,0.4301172196865082
2,77,0.3464987874031067,,,
3,99,,0.1857958883047104,,
3,103,,,0.44954222440719604,0.4253804087638855
3,103,0.23358049988746643,,,
4,129,,,0.4534018933773041,0.42908400297164917
4,129,0.15732136368751526,,,
5,149,,0.12291981279850006,,
5,155,,,0.46681106090545654,0.4422418475151062
5,155,0.10189443081617355,,,
6,181,,,0.4528639316558838,0.4284385144710541
6,181,0.060748595744371414,,,
7,199,,0.02809331566095352,,
7,207,,,0.4481784999370575,0.42472755908966064
7,207,0.03747391328215599,,,
8,233,,,0.4682985842227936,0.444467693567276
8,233,0.02616051398217678,,,
9,249,,0.01491460856050253,,
9,259,,,0.4470418691635132,0.4236886501312256
9,259,0.01934349536895752,,,
10,285,,,0.45792844891548157,0.43459242582321167
10,285,0.014106996357440948,,,
11,299,,0.01387501135468483,,
11,311,,,0.4514278173446655,0.4288918673992157
11,311,0.010619126260280609,,,
12,337,,,0.45450785756111145,0.43223243951797485
12,337,0.006940905470401049,,,
13,349,,0.0045989928767085075,,
13,363,,,0.4482668340206146,0.4259781241416931
13,363,0.004660026170313358,,,
14,389,,,0.45220497250556946,0.4296737313270569
14,389,0.0031706474255770445,,,
15,399,,0.0011250759707763791,,
15,415,,,0.45310544967651367,0.4302246868610382
15,415,0.0019262275891378522,,,
16,441,,,0.451444536447525,0.4289887547492981
16,441,0.0014357265317812562,,,
17,449,,0.0011776704341173172,,
17,467,,,0.4509938061237335,0.4284124970436096
17,467,0.0009443493327125907,,,
18,493,,,0.4514988362789154,0.4291287362575531
18,493,0.0006879373104311526,,,
19,499,,0.0004244253213983029,,
19,519,,,0.45187142491340637,0.4293983578681946
19,519,0.000520269270054996,,,
