epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5724220871925354,0.5423794984817505
0,25,0.8221291303634644,,,
1,49,,0.5222920775413513,,
1,51,,,0.48457810282707214,0.4560617208480835
1,51,0.4521579146385193,,,
2,77,,,0.42617133259773254,0.39967232942581177
2,77,0.30421456694602966,,,
3,99,,0.21141347289085388,,
3,103,,,0.4051050841808319,0.3791537284851074
3,103,0.2205256074666977,,,
4,129,,,0.44404229521751404,0.41832783818244934
4,129,0.14833563566207886,,,
5,149,,0.09347084909677505,,
5,155,,,0.4075813293457031,0.3823727071285248
5,155,0.09878446906805038,,,
6,181,,,0.40718892216682434,0.3818219006061554
6,181,0.06234211474657059,,,
7,199,,0.047939855605363846,,
7,207,,,0.40670156478881836,0.3823520541191101
7,207,0.03728516772389412,,,
8,233,,,0.4002024531364441,0.3752666711807251
8,233,0.024722931906580925,,,
9,249,,0.01370063703507185,,
9,259,,,0.4031590521335602,0.37857723236083984
9,259,0.01624596118927002,,,
10,285,,,0.3939827084541321,0.3698174059391022
10,285,0.011349095962941647,,,
11,299,,0.0089795533567667,,
11,311,,,0.3982749581336975,0.37487852573394775
11,311,0.009035132825374603,,,
12,337,,,0.3910979628562927,0.36733949184417725
12,337,0.006385245360434055,,,
13,349,,0.005154694430530071,,
13,363,,,0.3908138573169708,0.36750808358192444
13,363,0.004757121205329895,,,
14,389,,,0.39266228675842285,0.3692891001701355
14,389,0.003599066287279129,,,
15,399,,0.0036884909495711327,,
15,415,,,0.3932335078716278,0.36941832304000854
15,415,0.002504532691091299,,,
16,441,,,0.39223551750183105,0.3685452938079834
16,441,0.0015055423136800528,,,
17,449,,0.0023739945609122515,,
17,467,,,0.39272746443748474,0.3691660165786743
17,467,0.0012984961504116654,,,
18,493,,,0.39171865582466125,0.3679817020893097
18,493,0.0009090840467251837,,,
19,499,,0.0004154191992711276,,
19,519,,,0.3924221992492676,0.36877530813217163
19,519,0.0005033871857449412,,,
20,545,,,0.39240577816963196,0.36856675148010254
20,545,0.00034269806928932667,,,
21,549,,0.00018815265502780676,,
21,571,,,0.3927105665206909,0.36885255575180054
21,571,0.00018951680976897478,,,
22,597,,,0.39164015650749207,0.36811816692352295
22,597,0.00012875818356405944,,,
