epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.693760335445404,0.6687946319580078
0,25,0.8365078568458557,,,
1,49,,0.42870786786079407,,
1,51,,,0.47408610582351685,0.44884490966796875
1,51,0.5075235366821289,,,
2,77,,,0.4434773027896881,0.41684839129447937
2,77,0.36183011531829834,,,
3,99,,0.24043849110603333,,
3,103,,,0.4031147062778473,0.37572845816612244
3,103,0.25654053688049316,,,
4,129,,,0.4306119978427887,0.40365102887153625
4,129,0.16284741461277008,,,
5,149,,0.08055753260850906,,
5,155,,,0.3867623209953308,0.35984382033348083
5,155,0.09970442205667496,,,
6,181,,,0.42322462797164917,0.3942616581916809
6,181,0.07094891369342804,,,
7,199,,0.03779367730021477,,
7,207,,,0.4048093259334564,0.3756895363330841
7,207,0.04410872235894203,,,
8,233,,,0.4178604781627655,0.38775575160980225
8,233,0.027801288291811943,,,
9,249,,0.018263978883624077,,
9,259,,,0.4218924939632416,0.3893178105354309
9,259,0.018424779176712036,,,
10,285,,,0.40950578451156616,0.37755316495895386
10,285,0.01385533157736063,,,
11,299,,0.006586540024727583,,
11,311,,,0.40726980566978455,0.37450647354125977
11,311,0.009196019731462002,,,
12,337,,,0.4084263741970062,0.3746209442615509
12,337,0.006362388841807842,,,
13,349,,0.003149594645947218,,
13,363,,,0.4102378189563751,0.3772169351577759
13,363,0.004362486302852631,,,
14,389,,,0.4137912392616272,0.38047724962234497
14,389,0.0029622779693454504,,,
15,399,,0.0021302630193531513,,
15,415,,,0.41221797466278076,0.37746596336364746
15,415,0.0018745753914117813,,,
