epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.5107018351554871,,
0,63,,,1.1448951959609985,0.8611904978752136
0,63,0.5801990032196045,,,
1,99,,0.46277934312820435,,
1,127,,,1.2013219594955444,0.8878176808357239
1,127,0.4058496654033661,,,
2,149,,0.38285720348358154,,
2,191,,,1.4506505727767944,1.0230438709259033
2,191,0.3686782121658325,,,
3,199,,0.2855394780635834,,
3,249,,0.339753657579422,,
3,255,,,1.330100417137146,0.9383209943771362
3,255,0.3262598514556885,,,
4,299,,0.3003336787223816,,
4,319,,,1.2102069854736328,0.8792756199836731
4,319,0.2805326581001282,,,
5,349,,0.223528191447258,,
5,383,,,1.361926794052124,0.9896888136863708
5,383,0.24628305435180664,,,
6,399,,0.29031819105148315,,
6,447,,,1.3676713705062866,0.9395946264266968
6,447,0.22311857342720032,,,
7,449,,0.20481757819652557,,
7,499,,0.19965240359306335,,
7,511,,,1.2428168058395386,0.9157330989837646
7,511,0.21158431470394135,,,
8,549,,0.17430521547794342,,
8,575,,,1.4025852680206299,0.9734408259391785
8,575,0.194691464304924,,,
9,599,,0.1635291427373886,,
9,639,,,1.2325562238693237,0.901425302028656
9,639,0.18624328076839447,,,
10,649,,0.17609983682632446,,
10,699,,0.16673074662685394,,
10,703,,,1.2829385995864868,0.9200676679611206
10,703,0.17347632348537445,,,
