epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.7452253103256226,0.7452253103256226
0,25,0.8382696509361267,,,
1,49,,0.44316697120666504,,
1,51,,,0.4789642095565796,0.4789642095565796
1,51,0.4809631407260895,,,
2,77,,,0.43756046891212463,0.43756043910980225
2,77,0.3102910816669464,,,
3,99,,0.136681467294693,,
3,103,,,0.4301317036151886,0.4301317036151886
3,103,0.1903931349515915,,,
4,129,,,0.4681502878665924,0.4681502878665924
4,129,0.1051890105009079,,,
5,149,,0.08023121953010559,,
5,155,,,0.44079849123954773,0.44079849123954773
5,155,0.07209177315235138,,,
6,181,,,0.4320622384548187,0.4320622384548187
6,181,0.0419040210545063,,,
7,199,,0.023584512993693352,,
7,207,,,0.4434269964694977,0.4434269964694977
7,207,0.02496466040611267,,,
8,233,,,0.4584817886352539,0.4584817886352539
8,233,0.020615622401237488,,,
9,249,,0.014448272064328194,,
9,259,,,0.42938822507858276,0.42938822507858276
9,259,0.016054576262831688,,,
10,285,,,0.43329766392707825,0.43329766392707825
10,285,0.009457306936383247,,,
11,299,,0.0054595982655882835,,
11,311,,,0.43507495522499084,0.43507498502731323
11,311,0.005344560369849205,,,
12,337,,,0.4367077648639679,0.4367077648639679
12,337,0.003302019089460373,,,
13,349,,0.002311775926500559,,
13,363,,,0.43621140718460083,0.43621140718460083
13,363,0.0021676502656191587,,,
14,389,,,0.43776029348373413,0.43776029348373413
14,389,0.0014068257296457887,,,
15,399,,0.0009316736250184476,,
15,415,,,0.4363929331302643,0.43639296293258667
15,415,0.000988577026873827,,,
16,441,,,0.4370863437652588,0.43708640336990356
16,441,0.000671496381983161,,,
17,449,,0.00026054534828290343,,
17,467,,,0.43670928478240967,0.43670928478240967
17,467,0.00045636764843948185,,,
18,493,,,0.4371534287929535,0.4371534287929535
18,493,0.0004034792655147612,,,
19,499,,0.00025423415354453027,,
19,519,,,0.43667808175086975,0.43667808175086975
19,519,0.00035243097227066755,,,
