epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.6086912155151367,0.6086912155151367
0,25,0.8195580244064331,,,
1,49,,0.5416464805603027,,
1,51,,,0.4737161695957184,0.4737161695957184
1,51,0.43863460421562195,,,
2,77,,,0.417587548494339,0.417587548494339
2,77,0.2998203933238983,,,
3,99,,0.15309253334999084,,
3,103,,,0.40590178966522217,0.40590178966522217
3,103,0.18910999596118927,,,
4,129,,,0.4062051773071289,0.4062051773071289
4,129,0.12096814066171646,,,
5,149,,0.06416040658950806,,
5,155,,,0.4011582136154175,0.4011581838130951
5,155,0.0750722587108612,,,
6,181,,,0.41589945554733276,0.41589948534965515
6,181,0.04055551066994667,,,
7,199,,0.030043140053749084,,
7,207,,,0.4062051475048065,0.4062051773071289
7,207,0.02435278706252575,,,
8,233,,,0.42088520526885986,0.42088523507118225
8,233,0.014968996867537498,,,
9,249,,0.010195119306445122,,
9,259,,,0.4181664288043976,0.4181664288043976
9,259,0.010796044953167439,,,
10,285,,,0.41516032814979553,0.41516032814979553
10,285,0.007375163957476616,,,
11,299,,0.0044221896678209305,,
11,311,,,0.4106177091598511,0.4106177091598511
11,311,0.0055031017400324345,,,
12,337,,,0.41592371463775635,0.41592371463775635
12,337,0.004340257495641708,,,
13,349,,0.003438824787735939,,
13,363,,,0.41478195786476135,0.41478198766708374
13,363,0.0030349011067301035,,,
14,389,,,0.41209039092063904,0.4120904207229614
14,389,0.001759125618264079,,,
15,399,,0.0010208406019955873,,
15,415,,,0.41465824842453003,0.41465824842453003
15,415,0.0011575339594855905,,,
