epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5864994525909424,0.5641173124313354
0,25,0.8379043936729431,,,
1,49,,0.44274553656578064,,
1,51,,,0.47229984402656555,0.4502834677696228
1,51,0.478239506483078,,,
2,77,,,0.36627197265625,0.3458310663700104
2,77,0.3513701558113098,,,
3,99,,0.26853278279304504,,
3,103,,,0.3509862720966339,0.33104196190834045
3,103,0.2356269657611847,,,
4,129,,,0.43513619899749756,0.41576486825942993
4,129,0.16666635870933533,,,
5,149,,0.11045782268047333,,
5,155,,,0.366384357213974,0.3479253351688385
5,155,0.12257326394319534,,,
6,181,,,0.3433051109313965,0.3248732089996338
6,181,0.06464088708162308,,,
7,199,,0.05179475247859955,,
7,207,,,0.349494993686676,0.33081430196762085
7,207,0.04049122706055641,,,
8,233,,,0.3402771055698395,0.3229362368583679
8,233,0.030286753550171852,,,
9,249,,0.013824032619595528,,
9,259,,,0.33835461735725403,0.3214656710624695
9,259,0.018304744735360146,,,
10,285,,,0.3402383029460907,0.3232230544090271
10,285,0.012007201090455055,,,
11,299,,0.005386462900787592,,
11,311,,,0.3433764576911926,0.3266106843948364
11,311,0.008066069334745407,,,
12,337,,,0.3390408754348755,0.32221612334251404
12,337,0.005752945318818092,,,
13,349,,0.003498064586892724,,
13,363,,,0.3442499041557312,0.3264409899711609
13,363,0.003821197198703885,,,
14,389,,,0.3362904489040375,0.31927669048309326
14,389,0.002703107427805662,,,
15,399,,0.0026428084820508957,,
15,415,,,0.34128737449645996,0.3241416811943054
15,415,0.0021892711520195007,,,
16,441,,,0.3391869366168976,0.32198789715766907
16,441,0.0015307635767385364,,,
17,449,,0.0015846804017201066,,
17,467,,,0.3408330976963043,0.32345378398895264
17,467,0.0009770204778760672,,,
18,493,,,0.340330570936203,0.3234490156173706
18,493,0.000626406108494848,,,
19,499,,0.00039377593202516437,,
19,519,,,0.3396485149860382,0.32239872217178345
19,519,0.00042519770795479417,,,
20,545,,,0.34007152915000916,0.3230021297931671
20,545,0.0002488120808266103,,,
21,549,,9.477278217673302e-05,,
21,571,,,0.3396437168121338,0.32276782393455505
21,571,0.00013518215564545244,,,
22,597,,,0.3396932780742645,0.32259830832481384
22,597,8.837521454552189e-05,,,
23,599,,3.57856260961853e-05,,
23,623,,,0.33958154916763306,0.3226299285888672
23,623,6.158901669550687e-05,,,
24,649,,0.00015350447210948914,,
24,649,,,0.3397108316421509,0.3227378726005554
24,649,4.3736843508668244e-05,,,
